Car Name,Location,Model,Mileage (km),Fuel (Diesel/Petrol/Hybrid),Engine Cacity,Price (lac),Manual,Automatic
Proton Saga  2021 1.3L R3 M/T ,Lahore,2021,30382,1,1300,25.75,0,1
KIA Grand Carnival  2021 GLS+ ,Lahore,2021,10000,1,3500,1.17,0,1
DFSK Glory 580  2021 Pro ,Lahore,2021,21898,1,1500,51,1,0
Toyota Corolla  2022 Altis Grande X -i 1.8 Black Interior ,Lahore,2022,588,1,1800,59.25,0,1
Daihatsu Move  2013 Custom X SA ,Lahore,2013,125232,1,660,19,0,1
Suzuki Cultus  2019 L ,Lahore,2019,75197,1,1000,25.5,1,0
Toyota Corolla  2016 Altis 1 1.6 ,Lahore,2016,145642,1,1600,31,0,1
Honda BR-V  2019 i- MT ,Lahore,2019,29270,1,1500,35.35,1,0
Honda Civic  2019 Oriel 1.8 i-  ,Lahore,2019,69848,1,1800,40.5,0,1
Chevrolet Joy  2009 1.0 ,Lahore,2009,217592,1,1000,8.5,0,1
Honda City   2017 1.5 i- ,Lahore,2017,107964,1,1500,23,0,1
Mercedes Benz E   (W212)  2010 E250 ,Lahore,2010,149071,1,2000,70,1,0
Honda Civic  2017 Oriel 1.8 i-  ,Lahore,2017,106536,1,1800,40,0,1
Toyota Corolla  2016 Altis 1 1.6 ,Lahore,2016,108197,1,1600,30.5,1,0
Toyota Prius  2013 G Touring Selection 1.8 ,Lahore,2013,142349,1,1800,41,0,1
Honda Vezel  2016 2 Z Honda   ,Lahore,2016,62083,1,1500,44,0,1
Toyota Raize  2021  ,Islamabad,2021,5152,1,1000,52,1,0
Suzuki Cultus  2021 L ,Lahore,2021,20969,1,1000,26.8,1,0
Honda Civic  2022 Oriel 1.8 i-  ,Lahore,2022,16422,1,1800,59.35,0,1
Daihatsu Terios  2014 4x2 1 ,Lahore,2014,85653,1,1500,42,0,1
Toyota Yaris  2021   1.3 ,Lahore,2021,20750,1,1300,36.5,0,1
Toyota Vitz  2006 F 1.3 ,Lahore,2006,190635,1,1300,18.5,0,1
Toyota Fortuner  2019 2.7 V ,Lahore,2019,86154,1,2700,1,1,0
Honda Vezel  2015 2 Z ,Lahore,2015,65851,2,1500,45.75,0,1
Toyota Corolla  2015 GLi 1.3 V ,Lahore,2015,114757,1,1300,25.5,1,0
Honda Civic Rebirth 2014  Oriel  1.8 i- ,Lahore,2014,176619,1,1800,25.5,0,1
Suzuki Wagon R  2016 R ,Lahore,2016,482021,1,1000,16,1,0
Toyota Yaris Hatchback  2020  ,Lahore,2020,31759,1,1000,42.9,1,0
Suzuki Wagon R  2021 R ,Lahore,2021,14084,1,1000,22.6,0,1
Suzuki Liana  2008 RXi ,Lahore,2008,143563,1,1300,8.8,0,1
KIA Grand Carnival  2021 GLS+ ,Lahore,2021,7574,1,3500,1.2,0,1
Suzuki Cultus  2013  II ,Lahore,2013,50849,1,1000,14,0,1
Hyundai Tucson  2022  A/T Ultimate ,Lahore,2022,4200,1,2000,74,0,1
Audi A6  (C7)  2015 1.8 TFSI Business  Edition ,Lahore,2015,91592,1,1800,89,0,1
Toyota Vitz  2008 B 1.0 ,Lahore,2008,173125,1,1000,16.75,1,0
Honda Civic Reborn 2011   1.8 i- ,Islamabad,2011,70330,1,1800,22,0,1
Honda City  2021 1.2L M/T ,Lahore,2021,3961,1,1200,36,0,1
Toyota Prius Alpha  2017 S L Selection ,Islamabad,2017,127226,2,1800,59,0,1
Hyundai Sonata  2022 2.5 ,Islamabad,2022,14514,1,2500,79,0,1
Honda City  2021 1.2L M/T ,Islamabad,2021,11752,1,1200,35.5,0,1
Changan Alsvin  2021 1.5L DCT Lumiere ,Islamabad,2021,38338,1,1500,34,0,1
Toyota Raize  2020 Z ,Lahore,2020,21811,1,1000,49.5,1,0
Honda Civic  2003 EXi ,Lahore,2003,148111,1,1500,11.5,0,1
MG HS  2021 1.5 Turbo ,Lahore,2021,21818,1,1500,60,1,0
Suzuki Cultus  2021 L ,Lahore,2021,13357,1,1000,28.75,0,1
Suzuki Cultus  2017 L ,Lahore,2017,83156,1,1000,19.8,1,0
Toyota Corolla  2017 Altis 1 1.6 ,Lahore,2017,85459,1,1600,43.5,1,0
Suzuki Alto  2022 R ,Lahore,2022,2057,1,660,22.4,0,1
Honda Civic Reborn 2009  Oriel  1.8 i- ,Lahore,2009,137981,1,1800,19,1,0
Toyota Corolla  2012 Altis Cruisetronic 1.6 ,Lahore,2012,181469,1,1600,24.5,0,1
Honda City  2021 Aspire  1.5 i- ,Lahore,2021,27968,1,1500,37.5,0,1
Toyota Rush  2019 S ,Lahore,2019,115940,1,1500,60,0,1
Honda Civic  2022 1.5 RS Turbo ,Lahore,2022,2628,1,1500,79.5,0,1
Toyota Corolla  2018 Altis 1 1.6 ,Lahore,2018,120663,1,1600,38.5,1,0
Toyota Fortuner  2018 2.7 V ,Lahore,2018,37913,1,2700,95,0,1
MG HS  2021 1.5 Turbo ,Lahore,2021,16712,1,1500,66,0,1
Toyota Corolla  2016 GLi 1 1.3 V ,Lahore,2016,73821,1,1300,29.95,1,0
Toyota Crown  2018 RS Advance ,Lahore,2018,22982,1,2500,1.89,0,1
Honda BR-V  2021 i- S ,Lahore,2021,10722,1,1500,45.5,0,1
Daihatsu Cuore  2011 CX Eco ,Lahore,2011,82068,1,800,10.85,1,0
KIA Sportage  2021  ,Lahore,2021,14337,1,2000,61.9,0,1
Honda Civic Reborn 2011   1.8 i- ,Lahore,2011,170698,1,1800,19.5,1,0
Nissan Kix  2009  ,Lahore,2009,99713,1,660,14.5,1,0
United Alpha  2022 1.0 0 ,Lahore,2022,10796,1,1000,15.9,0,1
Audi A5  2019 1.4 TFSI Sportback ,Lahore,2019,36572,1,1400,1.45,1,0
Toyota Fortuner  2017 2.7 V ,Lahore,2017,55575,1,2700,93,0,1
Suzuki Cultus  2013  II ,Lahore,2013,53322,1,1000,13,0,1
Prince Pearl  2021 MT ,Lahore,2021,33992,1,800,11,0,1
Toyota Vitz  2018  ,Lahore,2018,53494,1,1000,34.5,0,1
Honda City  2019 1.3 i-  ,Lahore,2019,76957,1,1300,30.5,0,1
Suzuki Wagon R  2018 L ,Lahore,2018,85841,1,1000,18.8,0,1
Daihatsu Move  2012  ,Lahore,2012,94451,1,660,16.5,0,1
Toyota Yaris  2021 GLI MT 1.3 ,Lahore,2021,21689,1,1300,32,0,1
Honda City   2015 1.3 i-  ,Lahore,2015,184011,1,1300,24.5,0,1
MG ZS  2021 1.5L ,Lahore,2021,29977,1,1500,48.5,0,1
Suzuki Wagon R  2016 L ,Lahore,2016,145937,1,1000,15.95,0,1
KIA Picanto  2022 1.0 AT ,Lahore,2022,1141,1,1000,29.9,1,0
Suzuki Cultus  2014  II ,Lahore,2014,67701,1,1000,14,0,1
Honda City  2020 1.3 i- ,Lahore,2020,19443,1,1300,32.75,0,1
Honda Fit  2015 1.5 2 Base Grade  ,Lahore,2015,133963,2,1500,27.5,0,1
Toyota Yaris  2021  X  1.5 ,Lahore,2021,16203,1,1500,43,1,0
Honda Civic Eagle Eye 2005 EXi ,Lahore,2005,226716,1,1500,11.75,0,1
Suzuki Cultus  2016  ,Lahore,2016,68003,1,1000,15.5,0,1
KIA Picanto  2022 1.0 MT ,Lahore,2022,3200,1,1000,28.95,1,0
Suzuki Wagon R  2021 R ,Lahore,2021,11515,1,1000,22.25,1,0
Suzuki Wagon R  2021 AGS ,Lahore,2021,29543,1,1000,26.75,0,1
Honda City  2008 i-DSI ,Lahore,2008,127750,1,1300,17,0,1
Changan Karvaan  2020 Base Model 1.0 ,Lahore,2020,137968,1,1000,19.5,1,0
Mercedes Benz CLA   2013 CLA180 ,Lahore,2013,78222,1,1600,82,0,1
Changan Karvaan  2022 Plus ,Lahore,2022,1312,1,1000,25,1,0
Suzuki Swift  2022 GLX  ,Lahore,2022,3000,1,1200,38,0,1
Range Rover Sport  2010 5.0 V8 ,Lahore,2010,108472,1,5000,1.85,0,1
Mazda Flair Crossover  2017 XG ,Lahore,2017,26611,1,660,22,1,0
Toyota Yaris  2022  X  1.5 ,Lahore,2022,1709,1,1500,44,0,1
Honda Civic Rebirth 2014 Oriel  UG ,Lahore,2014,109264,1,1800,28,1,0
Hyundai Elantra  2022 GLS ,Lahore,2022,7116,1,2000,57,1,0
Suzuki Cultus  2017 R ,Lahore,2017,124593,1,1000,19,0,1
Honda City   2016 Aspire  1.5 i- ,Lahore,2016,147085,1,1500,27,0,1
Honda City   2018 1.3 i-  ,Lahore,2018,51567,1,1300,31.75,1,0
KIA Sportage  2022  ,Lahore,2022,1600,1,2000,69,1,0
Suzuki Wagon R  2016 L ,Lahore,2016,91310,1,1000,16.9,1,0
Honda City  2021 1.5L ASPIRE  ,Lahore,2021,12649,1,1500,42.6,1,0
Suzuki Cultus  2018 L ,Lahore,2018,67126,1,1000,26,0,1
Honda Vezel  2016 2 RS Honda   ,Lahore,2016,53008,1,1500,59,1,0
Toyota Corolla  2015 Altis Grande -i 1.8 ,Lahore,2015,133923,1,1800,30,1,0
Suzuki Wagon R  2019 L ,Lahore,2019,65242,1,1000,20.1,0,1
Honda Civic  2006 MX (2) ,Lahore,2006,158005,1,1300,19,1,0
Honda City  2021 1.2L  ,Lahore,2021,20881,1,1200,37.5,0,1
MG HS  2021 1.5 Turbo ,Lahore,2021,19467,1,1500,62.5,0,1
Toyota Corolla  2018 Altis Grande -i 1.8 ,Lahore,2018,63802,1,1800,44.5,0,1
Honda N Box  2020 Slash G L  ,Lahore,2020,35175,1,660,26,0,1
Toyota Vitz  2015 F 1.0 ,Lahore,2015,68240,1,1000,29,0,1
Daihatsu Esse  2009 Eco ,Lahore,2009,160778,1,660,13.5,0,1
Toyota Fortuner  2016 2.7 G ,Lahore,2016,58820,1,2700,74,1,0
Honda City   2017 1.3 i- ,Lahore,2017,92161,1,1300,27,0,1
Honda Civic  2021 Oriel 1.8 i-  ,Lahore,2021,29572,1,1800,52,0,1
Toyota Corolla  2015 Altis Grande -i 1.8 ,Lahore,2015,109911,1,1800,33.5,0,1
Honda City  2021 1.5L ASPIRE  ,Lahore,2021,29133,1,1500,46,1,0
Honda City   2015 Aspire 1.5 i- ,Lahore,2015,151189,1,1500,24.8,0,1
Suzuki Alto  2009 R ,Lahore,2009,161061,1,1000,9.15,1,0
DFSK Glory 580  2021 Pro ,Lahore,2021,8166,1,1500,52,0,1
Suzuki Cultus  2015  II ,Lahore,2015,16940,1,1000,15,0,1
MG HS  2021 1.5 Turbo ,Lahore,2021,8291,1,1500,64,1,0
Toyota Vitz  2019 2 U 1.5 ,Lahore,2019,27086,2,1500,43,0,1
Proton Saga  2021 1.3L R3 M/T ,Lahore,2021,30382,1,1300,25.75,0,1
KIA Grand Carnival  2021 GLS+ ,Lahore,2021,10000,1,3500,1.17,0,1
DFSK Glory 580  2021 Pro ,Lahore,2021,21898,1,1500,51,0,1
Toyota Corolla  2022 Altis Grande X -i 1.8 Black Interior ,Lahore,2022,2880,1,1800,59.25,0,1
Daihatsu Move  2013 Custom X SA ,Lahore,2013,125232,1,660,19,0,1
Suzuki Cultus  2021 L ,Lahore,2021,20969,1,1000,26.8,0,1
Honda Civic  2022 Oriel 1.8 i-  ,Lahore,2022,16422,1,1800,59.35,0,1
Daihatsu Terios  2014 4x2 1 ,Lahore,2014,85653,1,1500,42,1,0
Toyota Yaris  2021   1.3 ,Lahore,2021,20750,1,1300,36.5,0,1
Toyota Vitz  2006 F 1.3 ,Lahore,2006,190635,1,1300,18.5,0,1
Toyota Fortuner  2019 2.7 V ,Lahore,2019,86154,1,2700,1,0,1
Honda City  2021 1.5L ASPIRE  ,Lahore,2021,21207,1,1500,41,1,0
Toyota Yaris  2021  X  1.5 ,Islamabad,2021,30007,1,1500,40.5,1,0
Suzuki Wagon R  2018 L ,Lahore,2018,18891,1,1000,22.5,0,1
Toyota Camry XV40 2008 Up-Spec 1 2.4 ,Lahore,2008,170499,1,2400,28.5,1,0
Suzuki Wagon R  2018 L ,Lahore,2018,44605,1,1000,18.5,0,1
Toyota Corolla  2019 Altis 1 1.6 ,Lahore,2019,27003,1,1600,42,0,1
Suzuki Cultus  2010 Ri ,Lahore,2010,59452,1,1000,10.5,1,0
Suzuki Cultus  2020 R ,Lahore,2020,31050,1,1000,22.5,0,1
Changan Alsvin  2021 1.5L DCT Lumiere ,Lahore,2021,22378,1,1500,33.5,0,1
KIA Sportage  2019  ,Lahore,2019,72967,1,2000,60,0,1
United Bravo  2019 Base Grade  ,Lahore,2019,21416,1,800,9.5,0,1
KIA Sportage  2022  ,Lahore,2022,1160,1,2000,69,1,0
Toyota Corolla 9th  2006 2.0D ,Lahore,2006,354632,0,2000,13.9,0,1
Honda Vezel  2016 2 Z Honda   ,Lahore,2016,65968,1,1500,49.5,0,1
Suzuki Ciaz  2018 0 ,Lahore,2018,89345,1,1400,25,0,1
Honda Freed  2014  ,Lahore,2014,174552,1,1500,30,0,1
Suzuki Alto  2019 L AGS ,Lahore,2019,24605,1,660,21.5,0,1
Suzuki Wagon R  2017 L ,Lahore,2017,87159,1,1000,17,0,1
Toyota Yaris  2021  X  1.5 ,Lahore,2021,22573,1,1500,38.4,0,1
Honda Civic Reborn 2009  1.8 i- ,Lahore,2009,135808,1,1800,17,1,0
Toyota Corolla  2014 Altis 1 1.6 ,Lahore,2014,115969,1,1600,28.75,0,1
Honda Vezel  2016 2 Z Honda   ,Lahore,2016,90393,2,1500,58.85,1,0
KIA Sorento  2021 2.4  ,Lahore,2021,1083,1,2400,82,0,1
Honda Vezel  2015 2 Z ,Lahore,2015,65851,2,1500,45.75,1,0
Toyota Corolla  2015 GLi 1.3 V ,Lahore,2015,114757,1,1300,25.5,1,0
Honda Civic Rebirth 2014  Oriel  1.8 i- ,Lahore,2014,176619,1,1800,25.5,0,1
Suzuki Wagon R  2016 R ,Lahore,2016,482021,1,1000,16,0,1
Toyota Yaris Hatchback  2020  ,Lahore,2020,31759,1,1000,42.9,1,0
Suzuki Wagon R  2021 R ,Lahore,2021,14084,1,1000,22.6,0,1
Suzuki Liana  2008 RXi ,Lahore,2008,143563,1,1300,8.8,1,0
KIA Grand Carnival  2021 GLS+ ,Lahore,2021,7574,1,3500,1.2,0,1
Suzuki Cultus  2013  II ,Lahore,2013,50849,1,1000,14,1,0
Hyundai Tucson  2022  A/T Ultimate ,Lahore,2022,4200,1,2000,74,0,1
Audi A6  (C7)  2015 1.8 TFSI Business  Edition ,Lahore,2015,91592,1,1800,89,0,1
Toyota Vitz  2008 B 1.0 ,Lahore,2008,173125,1,1000,16.75,1,0
KIA Sorento  2021 2.4  ,Lahore,2021,1083,1,2400,82,0,1
Toyota Fortuner  2022 Legender  ,Lahore,2022,5405,0,2800,1.58,1,0
Toyota sso  2017 X L  ,Lahore,2017,104623,1,1000,29.5,0,1
Toyota Corolla  2021 Altis X 1 1.6 ,Lahore,2021,24610,1,1600,43,0,1
Toyota Corolla  2017 Altis Grande -i 1.8 ,Lahore,2017,118471,1,1800,35.5,0,1
Toyota Prado  2012 TX 2.7 ,Lahore,2012,247462,1,2700,1.3,0,1
Suzuki Cultus  2018 R ,Lahore,2018,33965,1,1000,24,1,0
KIA Sportage  2022  ,Lahore,2022,3460,1,2000,64.5,0,1
Toyota Corolla  2017 Altis 1 1.6 ,Lahore,2017,74590,1,1600,34,1,0
Toyota Corolla  2019 Altis Grande -i 1.8 ,Lahore,2019,106842,1,1800,51,0,1
Daihatsu Mira  2013 X ,Lahore,2013,118703,1,660,17.5,1,0
Changan Karvaan  2022 Plus ,Lahore,2022,1666,1,1000,24.49,1,0
Changan Karvaan  2019 Base Model 1.0 ,Lahore,2019,55497,1,1000,17,0,1
Honda Fit  2015 1.5 2 S  ,Lahore,2015,121457,2,1500,28.5,1,0
DFSK Glory 580  2021 Pro ,Lahore,2021,24357,1,1500,49,0,1
Honda Civic Rebirth 2014  Oriel  1.8 i- ,Lahore,2014,119697,1,1800,29.7,0,1
Hyundai Tucson  2020  A/T Ultimate ,Lahore,2020,37528,1,2000,65,0,1
Honda Civic  2019 Oriel 1.8 i-  ,Lahore,2019,75546,1,1800,46,0,1
Toyota Corolla  2012 XLi V ,Lahore,2012,152419,1,1300,18.9,0,1
Proton X70  2022 Premium  ,Lahore,2022,1200,1,1500,73.5,0,1
Suzuki Wagon R  2018 L ,Lahore,2018,94964,1,1000,17.25,0,1
Honda Civic Eagle Eye 2005 EXi ,Lahore,2005,209340,1,1500,12.5,0,1
Honda Civic Eagle Eye 2005 EXi ,Lahore,2005,387394,1,1500,13.5,0,1
Honda City  2005 i-DSI Vario ,Lahore,2005,257374,1,1300,13,1,0
